student,currProb,course,session,priorTutorAction,reward,cumul_Interaction,Level,0,1,2,3,4,5
0026-F14,5.-1.4.0,226-001-BARNES-F14,5,PS,81.07142857,82,5,0,0,0,0,0,0
0026-F14,6.-1.1.0,226-001-BARNES-F14,5,PS,0,9,6,0,0,0,0,0,0
0026-F14,6.-1.2.0,226-001-BARNES-F14,5,PS,0,47,6,0,0,0,0,0,0
0026-F14,6.-1.3.0,226-001-BARNES-F14,5,WE,0,57,6,0,0,0,0,0,0
0026-F14,6.-1.4.0,226-001-BARNES-F14,5,PS,0,61,6,0,0,0,0,0,0
0026-F14,6.-1.4.0,226-001-BARNES-F14,5,PS,0,115,6,0,0,0,0,0,0
0026-F14,6.-1.4.1,226-001-BARNES-F14,5,PS,-25.47297297,180,6,0,0,0,0,0,0
0030-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0,41,1,0,0,0,0,1,0
0030-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0,46,1,0,0,0,0,0,0
0030-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0,62,1,0,0,0,0,0,0
0030-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-65.13157895,159,1,0,0,0,0,0,0
0030-F14,2.1.1.0,226-001-BARNES-F14,1,WE,0,10,2,0,0,0,0,0,0
0030-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0,16,2,0,0,0,0,0,0
0030-F14,2.1.3.0,226-001-BARNES-F14,1,PS,41.26603273,76,2,0,0,0,0,0,0
0030-F14,3.1.1.0,226-001-BARNES-F14,1,WE,0,10,3,0,0,0,0,0,0
0030-F14,3.1.2.0,226-001-BARNES-F14,1,PS,0,62,3,0,0,0,0,0,0
0030-F14,3.1.3.0,226-001-BARNES-F14,1,PS,48.33156564,101,3,0,0,0,0,0,0
0030-F14,4.1.1.0,226-001-BARNES-F14,1,WE,0,19,4,0,0,0,0,0,0
0030-F14,4.1.2.0,226-001-BARNES-F14,2,PS,0,245,4,0,0,0,0,0,0
0030-F14,4.1.3.0,226-001-BARNES-F14,2,PS,-69.28744799,414,4,0,0,0,0,0,0
0030-F14,5.1.1.0,226-001-BARNES-F14,2,WE,0,8,5,0,0,0,0,0,0
